INDUSTRY, 2016
Aerospace/Defense, 5225
Apparel, 1000
Automotive, 14108
Chemical, 590
Commodities, 0
Computer, 177752
Construction, 506
Consumer_Products, 2167
Education, 596
Electronics, 1952
Energy, 1913
Entertainment/Leisure, 101842
Financial, 5276
Food, 2951
Government, 1193
Health_Care/Products, 8094
Industrial_Goods, 7005
Insurance, 2161
Legal, 91
Media, 8220
Non-Profit, 0
Pharmaceutical, 2808
Real_Estate, 150
Retail, 355443
Services, 5838
Telecommunications, 10297
Transportation, 151384
Utility, 140
