reason, 2016
Restructuring, 200111
Oil_Prices, 92868
Closing, 90764
Cost-Cutting, 42282
Bankruptcy, 19125
Merger/Acquisition, 18985
Demand_Downturn, 16220
Loss_of_Contract, 7979
Technological_Update, 7145
Outsourcing, 6755
Relocation, 5195
Voluntary_Severance, 4163
Coal_Downturn, 3341
Competition, 3162
Steel_Downturn, 2121
Government_Regulation, 1580
Budget_Cuts, 1257
Aluminum_Prices, 1152
Copper_Downturn, 454
Labor_Dispute, 435
Economic_Conditions, 368
Listeria, 311
Legal_Trouble, 230
Financial_Losses, 220
No_Reason_Provided, 209
Funding_Loss, 169
Grain_Downturn, 121
Fire, 100
Weather, 88
Flint_MI_Water_Crisis, 5
