INDUSTRY, 21-Dec, 2021, 2020
Aerospace/Defense, 1480, 17227, 16753
Apparel, 116, 116, 4085
Automotive, 3218, 23939, 26726
Chemical, 0, 546, 755
Construction, 10286, 17336, 34180
Consumer_Products, 3850, 17666, 15930
Education, 867, 4532, 32569
Electronics, 350, 3904, 3104
Energy, 211, 4109, 7135
Entertainment/Leisure, 5390, 62752, 453625
Financial, 557, 22918, 29958
FinTech, 500, 4280, 190
Food, 1555, 6755, 26277
Government, 14950, 122194, 157577
Health_Care/Products, 3714, 36908, 108844
Industrial_Goods, 1752, 20703, 8621
Insurance, 0, 2070, 10374
Legal, 0, 30, 924
Media, 150, 1227, 1615
Mining, 0, 850, 14
Non-Profit, 567, 825, 15772
Pharmaceutical, 325, 2172, 4900
Real_Estate, 542, 3136, 18790
Retail, 5225, 882601, 1182776
Services, 5761, 120956, 85117
Technology, 3349, 90687, 60911
Telecommunications, 534, 3434, 5718
Transportation, 24025, 250798, 738217
Utility, 0, 14818, 1512
Warehousing, 710, 12928, 137893
