#,Company,Location HQ,# Laid Off,Date,%,Industry,Source,List of Employees Laid Off,Stage,$ Raised (mm),Country,Date Added
208,Google,SF Bay Area,12000,44946,6%,Consumer,https://www.nytimes.co m/2023/01/20/business/ google-alphabet- layoffs.html,,Post-IPO,$26,United States,44946
674,Meta,SF Bay Area,11000,44874,13%,Consumer,https://www.cnbc.com/2 022/11/09/meta-to-lay- off-more-than-11000- thousand- employees.html,https://docs.google.com/ spreadsheets/d/1edAZoF G25lJpfSpTuJzD9hGijSz RfZ8v84H_Zak4gug/edit,Post-IPO,"$26,000",United States,44874
606,Amazon,Seattle,10000,44881,3%,Retail,https://www.nytimes.co m/2022/11/14/technolog y/amazon-layoffs.html,https://docs.google.com/ spreadsheets/d/1f0Qva M9dwPYkcE8F_iyuH_Yd 1k3PhaE76YSOUlftxpw/e dit#gid=0,Post-IPO,$108,United States,44881
240,Microsoft,Seattle,10000,44944,5%,Other,https://www.usatoday.c om/story/money/2023/0 1/18/microsoft-layoffs- 10000-employees- stock/11074235002/,,Post-IPO,$1,United States,44943
379,Amazon,Seattle,8000,44930,2%,Retail,https://www.wsj.com/art icles/amazon-to-lay- off-over-17-000- workers-more-than- first-planned- 11672874304,,Post-IPO,$108,United States,44930
380,Salesforce,SF Bay Area,8000,44930,10%,Sales,https://www.nytimes.co m/2023/01/04/business/ salesforce-layoffs.html,https://docs.google.com/ spreadsheets/d/1FViDW nYrEvyj7HY3MQ6tt- clf7nZ25DfyTzUrSwh- RY/htmlview,Post-IPO,$65,United States,44930
77,Dell,Austin,6650,44963,5%,Hardware,"https://www.bloomberg. com/news/articles/2023
-02-06/dell-dell-lays- off-about-6-650- employees-in-latest- tech-cuts#xj4y7vzkg",,Post-IPO,,United States,44963
137,Philips,Amsterdam Non-U.S.,6000,44956,13%,Healthcare,https://www.reuters.co m/markets/europe/philip s-scraps-6000-jobs- drive-improve- profitability-2023-01- 30/,,Post-IPO,,Netherlands,44956
1702,Booking.com,Amsterdam Non-U.S.,4375,44042,25%,Travel,https://skift.com/2020/0 8/04/booking-com- restructuring-will-pare- its-workforce-by-up-to- 25-percent/,,Acquired,,Netherlands,44047
607,Cisco,SF Bay Area,4100,44881,5%,Infrastruc…,"https://www.bizjournals. com/sanjose/news/2022
/11/16/cisco-
announces-600m- restructuring- layoffs.html",,Post-IPO,$2,United States,44882
774,Philips,Amsterdam Non-U.S.,4000,44858,5%,Healthcare,https://www.reuters.co m/business/philips-cut- 4000-jobs-after- medical-equipment- recall-2022-10-24/,,Post-IPO,,Netherlands,44946
172,IBM,New York …,3900,44951,2%,Hardware,"https://www.bloomberg. com/news/articles/2023
-01-25/ibm-to-cut-
about-3-900-workers- still-hiring-in-higher- growth-areas",,Post-IPO,,United States,44951
1851,Uber,SF Bay Area,3700,43957,14%,Transport…,https://layoffs.fyi/2020/ 05/12/uber-laid-off- 3700-employees-with- more-expected/,,Post-IPO,"$24,700",United States,43957
706,Twitter,SF Bay Area,3700,44869,50%,Consumer,https://www.nytimes.co m/2022/11/04/technolog y/elon-musk-twitter- layoffs.html,"https://docs.google.com/ spreadsheets/d/1OoD3p VxFl718fnxs_cEaOIbcj- 45-
qNKZFnE1jQW86M/edit# gid=0",Post-IPO,"$12,900",United States,44869
1806,Uber,SF Bay Area,3000,43969,13%,Transport…,https://layoffs.fyi/2020/ 05/18/uber-lays-off- 3000-more-employees- on-top-of-the-3700- laid-off-earlier-this- month/,,Post-IPO,"$24,700",United States,43969
1579,Better.com,New York …,3000,44628,33%,Real Estate,"https://www.nytimes.co m/2022/03/08/business
/better-mortgage- lender-layoffs.html",,Unknown,$905,United States,44628
166,SAP,Walldorf Non-U.S.,3000,44952,3%,Other,https://www.cnbc.com/2 023/01/26/sap-to-cut- 3000-roles-explore- sale-of-qualtrics- stake.html,,Post-IPO,"$1,300",Germany,44952
2006,Groupon,Chicago,2800,43934,44%,Retail,https://layoffs.fyi/2020/ 04/17/groupon-laid-off- or-furloughed-2800- employees/,,Post-IPO,"$1,400",United States,43934
1593,Peloton,New York …,2800,44600,20%,Fitness,https://techcrunch.com/ 2022/02/08/peloton- ceo-steps-down-as- the-company-cuts- 2800-jobs/,,Post-IPO,"$1,900",United States,44600
1519,Carvana,Phoenix,2500,44691,12%,Transport…,https://techcrunch.com/ 2022/05/10/carvana-to- cut-2500-staff-as-it- struggles-with- overcapacity/,,Post-IPO,"$1,600",United States,44691
814,Byju's,Bengaluru Non-U.S.,2500,44846,5%,Education,https://techcrunch.com/ 2022/10/12/indian- edtech-giant-byjus- cuts-2500-jobs/,,Private …,"$5,500",India,44846
1616,Katerra,SF Bay Area,2434,44348,100%,Construct…,https://therealdeal.com/ 2021/06/01/troubled- construction-startup- katerra-will-shut-down- report/,,Unknown,"$1,600",United States,44348
1604,Zillow,Seattle,2000,44502,25%,Real Estate,https://www.geekwire.c om/2021/zillow-shutter- home-buying-business- lay-off-2k-employees- big-real-estate-bet- falters/,,Post-IPO,$97,United States,44502
